npsn,nama_sekolah,nilai_total,provinsi,kota/kab,jenis_sekolah
20102563,"SMAN 90 JAKARTA ,More..","579,872",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
20401130,"SMAN 1 MLATI ,More..","579,749",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
20363082,"MAN 2 KUDUS ,More..","579,680",Prov. Jawa Tengah,Kab. Kudus,MA
20533660,"SMAN 1 ,More..","579,576",Prov. Jawa Timur,Kota Malang,SMA
20101626,"SMAN 112 JAKARTA ,More..","579,163",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
20103309,"SMAN 58 JAKARTA ,More..","579,023",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
20103278,"SMAN 91 JAKARTA ,More..","577,969",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
20401146,"SMAN 1 GODEAN ,More..","621,865",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
20580050,"MAN 2 KOTA MALANG ,More..","617,605",Prov. Jawa Timur,Kota Malang,MA
69975889,"MAN INSAN CENDEKIA KOTA BATAM ,More..","616,585",Prov. Kepulauan Riau,Kota Batam,MA
20403171,"SMAN 6 YOGYAKARTA ,More..","616,488",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
20103283,"SMAN 21 JAKARTA ,More..","616,405",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
20103307,"SMAN 61 JAKARTA ,More..","615,000",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
30315142,"SMAN BANUA KAL SEL ,More..","613,488",Prov. Kalimantan Selatan,Kab. Banjar,SMA
69941598,"MAN INSAN CENDEKIA SIAK ,More..","577,733",Prov. Riau,Kab. Siak,MA
20265518,"SMAS ALFA CENTAURI ,More..","577,561",Prov. Jawa Barat,Kota Bandung,SMA
20327966,"SMAN 1 SURAKARTA ,More..","576,569",Prov. Jawa Tengah,Kota Surakarta,SMA
20102575,"SMAN 55 JAKARTA ,More..","576,486",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
20223075,"SMAS MARSUDIRINI ,More..","576,173",Prov. Jawa Barat,Kota Bekasi,SMA
20503414,"SMA NEGERI 2 JOMBANG ,More..","576,122",Prov. Jawa Timur,Kab. Jombang,SMA
20328895,"SMA NEGERI 03 ,More..","573,904",Prov. Jawa Tengah,Kota Semarang,SMA
69941830,"MAN INSAN CENDEKIA PASER ,More..","573,896",Prov. Kalimantan Timur,Kab. Paser,MA
20320392,"SMA SEDES SAPIENTIAE JAMBU ,More..","573,563",Prov. Jawa Tengah,Kab. Semarang,SMA
20603357,"SMAS KRISTEN BPK PENABUR GADING SERPONG ,More..","613,312",Prov. Banten,Kab. Tangerang,SMA
20102214,"SMAN 34 JAKARTA ,More..","613,287",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
20103314,"SMAN 48 JAKARTA ,More..","611,964",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
20328915,"SMAS KOLESE LOYOLA ,More..","611,291",Prov. Jawa Tengah,Kota Semarang,SMA
20279931,"SMAS AL-IRSYAD SATYA  ,More..","609,602",Prov. Jawa Barat,Kab. Bandung Barat,SMA
20108383,"SMAS SANTA URSULA ,More..","609,237",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
20103310,"SMAN 54 JAKARTA ,More..","573,342",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
20100216,"SMAN 1 JAKARTA ,More..","573,001",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
10648016,"SMAN SUMATERA SELATAN ,More..","572,852",Prov. Sumatera Selatan,Kota Palembang,SMA
20252852,"SMAS AL KAHFI ,More..","572,812",Prov. Jawa Barat,Kab. Bogor,SMA
20532087,"SMAS SANTA MARIA ,More..","572,753",Prov. Jawa Timur,Kota Surabaya,SMA
20534388,"SMAN 2 KEDIRI ,More..","572,507",Prov. Jawa Timur,Kota Kediri,SMA
20229157,"SMAS ISLAM TERPADU NURUL FIKRI ,More..","572,332",Prov. Jawa Barat,Kota Depok,SMA
20307712,"SMAN 1 MUNTILAN ,More..","572,184",Prov. Jawa Tengah,Kab. Magelang,SMA
20309676,"SMAN 1 KLATEN ,More..","571,558",Prov. Jawa Tengah,Kab. Klaten,SMA
69856916,"SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG ,More..","609,216",Prov. Sumatera Selatan,Kota Palembang,SMA
20101588,"SMAN 78 JAKARTA ,More..","607,431",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
20219263,"SMAS ALLOYSIUS 1 ,More..","605,233",Prov. Jawa Barat,Kota Bandung,SMA
20247147,"SMAS PESANTREN UNGGUL AL BAYAN ,More..","604,424",Prov. Jawa Barat,Kab. Sukabumi,SMA
60728785,"MAN Insan Cendekia Gorontalo ,More..","603,660",Prov. Gorontalo,Kab. Bone Bolango,MA
10210923,"SMAS SANTO THOMAS 1 MEDAN ,More..","571,138",Prov. Sumatera Utara,Kota Medan,SMA
10498812,"MAN 2 PEKANBARU ,More..","571,118",Prov. Riau,Kota Pekanbaru,MA
10210848,"SMAS SUTOMO 1 ,More..","571,025",Prov. Sumatera Utara,Kota Medan,SMA
69775444,"SMAS IT UMMUL QURO ,More..","570,976",Prov. Jawa Barat,Kota Bogor,SMA
69857710,"SMA TRENSAINS TEBUIRENG ,More..","570,584",Prov. Jawa Timur,Kab. Jombang,SMA
